nohup: ignoring input
100 2.3214244842529297 2.382511409282684 67.66225600242615
200 2.3192530632019044 2.320815065860748 128.20174026489258
300 2.3095025539398195 2.3149068813323983 188.50081610679626
400 2.3140234470367433 2.312248016357422 247.91742300987244
500 2.3149716377258303 2.309256964206695 314.5779182910919
600 2.300869512557983 2.3080070204734797 385.1523241996765
700 2.2972103118896485 2.3066855111122133 458.47322607040405
800 2.303691530227661 2.3047672147750866 519.192792892456
900 2.307421875 2.303666868686676 588.8368616104126
1000 2.3005625724792482 2.3028752245903017 659.5616002082825
1100 2.30140380859375 2.3013548846244807 724.9148514270782
1200 2.2996336936950685 2.3002106733322147 798.7781102657318
1300 2.2880369663238525 2.2961834664344773 871.5137565135956
1400 2.289243793487549 2.2908380999565123 950.0658957958221
1500 2.2670311450958254 2.279139434337615 1019.2083489894867
1600 2.2339360237121584 2.252956749439239 1098.010559797287
1700 2.200592517852783 2.216548241615296 1176.0308420658112
1800 2.1517895221710206 2.17281650352478 1239.6552274227142
1900 2.113780975341797 2.1317051234245294 1303.1530077457428
2000 2.0730160236358643 2.0919604358673087 1382.0266227722168
2100 2.036185455322266 2.0550854096412667 1457.0649104118347
2200 2.009746217727661 2.021061058282852 1534.474143743515
2300 1.9746097326278687 1.9903438320159907 1612.7086200714111
2400 1.9530333280563354 1.9623758316040036 1688.0902433395386
2500 1.9300344944000245 1.9372563009262083 1765.7296772003174
2600 1.9011316776275635 1.914683950662613 1837.2216243743896
2700 1.8770585298538207 1.8915973463058473 1911.39564204216
2800 1.8598291635513307 1.871877527236939 1971.832291841507
2900 1.8440459012985229 1.8537151930332179 2034.4754617214203
3000 1.8314019918441773 1.8355867047309875 2096.2985196113586
3100 1.814076590538025 1.8195296275615689 2159.212506532669
3200 1.798029398918152 1.8054797339439406 2219.493391752243
3300 1.7814613103866577 1.7904139587879178 2278.8374190330505
3400 1.776434350013733 1.7766649875640874 2335.607989549637
3500 1.754997968673706 1.7644463236331935 2391.9417877197266
3600 1.749252986907959 1.753011437177658 2453.053442955017
3700 1.7332082509994506 1.7414242372512816 2514.742257833481
3800 1.7220847845077514 1.7299734678268437 2576.5965600013733
3900 1.7122538566589356 1.71952395939827 2640.870405435562
4000 1.7075949430465698 1.7095121126174921 2715.2374556064606
4100 1.6982061624526978 1.7010977163314813 2793.68967461586
4200 1.6876094102859498 1.6905576362609862 2862.459818124771
4300 1.6754866361618042 1.6824324495792389 2932.7529516220093
4400 1.677253007888794 1.6744228558540357 3002.473007440567
4500 1.6626326322555542 1.6666464350223544 3063.878017425537
4600 1.6564393043518066 1.659327231884002 3122.8738865852356
4700 1.651682472229004 1.6509681792259219 3184.393502473831
4800 1.641152262687683 1.6435490734577174 3243.6587052345276
4900 1.6366381645202637 1.6368487739562985 3301.9613914489746
5000 1.6259954214096068 1.6308817818164827 3356.8528294563293
5100 1.621912908554077 1.6235295202732087 3412.479474544525
5200 1.6155784606933594 1.6171342380046843 3471.7063517570496
5300 1.604018497467041 1.6108598742485045 3534.122878551483
5400 1.5978558301925658 1.6048394761085507 3597.6559116840363
5500 1.5951430082321167 1.5986495664119726 3656.8667039871216
5600 1.5908225774765015 1.5932554421424876 3713.599284887314
5700 1.5849941492080688 1.5884720652103423 3766.886736869812
5800 1.5803643465042114 1.5822526137828818 3823.719475507736
5900 1.5817965984344482 1.5771134309768668 3877.9650089740753
6000 1.569619059562683 1.5724022362232202 3935.190096139908
6100 1.566456151008606 1.568633071422577 3996.8726541996
6200 1.5609158277511597 1.5625254333019252 4058.344596385956
6300 1.5616138935089112 1.5586208224296567 4120.755132198334
6400 1.5476829290390015 1.5533991708755495 4179.186084032059
6500 1.5527416229248048 1.5486051702499382 4238.030346393585
6600 1.5424427032470702 1.5453843274116517 4298.671949386597
6700 1.5442131280899047 1.5409665098190315 4353.432892084122
6800 1.530357050895691 1.5363205256462096 4413.222480535507
6900 1.5354148149490356 1.5337726047039033 4472.452985286713
7000 1.5319648265838623 1.5280216102600095 4535.337507486343
7100 1.5241941928863525 1.5251631610393526 4598.504378795624
7200 1.5229216814041138 1.5206611380577093 4662.000445127487
7300 1.5160800695419312 1.517665676116943 4723.555412769318
7400 1.5095098495483399 1.5144027745723725 4782.777821779251
7500 1.4971950054168701 1.509604831695556 4844.670103311539
7600 1.5006471633911134 1.5067784914970395 4904.535559177399
7700 1.5046096801757813 1.502820015192031 4960.092133998871
7800 1.504115104675293 1.5003143055438994 5015.239937782288
7900 1.4986352682113648 1.4964096059799201 5070.1952295303345
8000 1.4881900310516358 1.4943004481792443 5125.449437618256
8100 1.4880331754684448 1.490321571588516 5180.572936296463
8200 1.4832407474517821 1.4869284887313845 5235.408985853195
8300 1.4832629919052125 1.4840388975143433 5292.4902329444885
8400 1.4839095592498779 1.48175439453125 5350.3328993320465
8500 1.4767118215560913 1.4779438023567204 5409.17978644371
8600 1.4782194375991822 1.4751258618831633 5469.142368555069
8700 1.4740868091583252 1.4724839489459989 5528.459805727005
8800 1.466695237159729 1.4692216317653657 5585.95476436615
8900 1.4659460544586183 1.4668997106552129 5646.237786054611
9000 1.4629057407379151 1.463031868934631 5711.36412191391
9100 1.4610539674758911 1.461506662130356 5765.611131191254
9200 1.4532307386398315 1.4579323101043702 5820.204621553421
9300 1.4478950023651123 1.456814620733261 5876.164441108704
9400 1.4462073564529419 1.454872053146362 5936.770251750946
9500 1.451005220413208 1.450424216985703 6000.602984905243
9600 1.4419294595718384 1.4472248954772953 6059.747765779495
9700 1.4392362356185913 1.4452775502204893 6119.667617321014
9800 1.449756383895874 1.4442187273502354 6181.635300397873
9900 1.4436204433441162 1.4407272367477417 6250.9472219944
10000 1.4406560420989991 1.438546637535095 6319.380633354187
10100 1.431173276901245 1.4360668315887448 6383.307519674301
10200 1.4335208415985108 1.4338394336700435 6442.1467497348785
10300 1.4317437171936036 1.4314911329746252 6503.363012075424
10400 1.428529143333435 1.4290883524417872 6566.25625038147
10500 1.4301565647125245 1.427191885709763 6628.090539455414
10600 1.4330092430114747 1.4250696105957033 6692.783315896988
10700 1.422834539413452 1.4229371824264527 6756.624236822128
10800 1.4126184701919555 1.4205194602012643 6815.841326951981
10900 1.4137454509735108 1.418752825021744 6876.08734703064
11000 1.4150580644607544 1.4172015161514286 6936.660782337189
11100 1.4150753974914552 1.414639033794403 6999.889796257019
11200 1.4111769437789916 1.4134315440654752 7060.859259128571
11300 1.4116769790649415 1.4114080765247348 7122.905211925507
11400 1.4007288932800293 1.408593763113022 7184.647390127182
11500 1.4099630832672119 1.4060745823383336 7245.202887296677
11600 1.4057567834854126 1.404395574331284 7301.36301779747
11700 1.4016244888305665 1.4024471294879914 7362.6051206588745
11800 1.399235486984253 1.4009556055068972 7420.20494222641
11900 1.3957412719726563 1.39930981850624 7476.602907419205
12000 1.4005470514297484 1.39686389541626 7537.59617972374
12100 1.3960097551345825 1.3969979362487799 7596.883992671967
12200 1.3965158462524414 1.3940550374984744 7653.723482370377
12300 1.385426688194275 1.3913224940299986 7710.414981126785
12400 1.3861041069030762 1.3891604356765752 7765.948134660721
12500 1.38870689868927 1.389131205797195 7822.210754394531
12600 1.380829882621765 1.3874613323211664 7879.389543771744
12700 1.3841187477111816 1.385115904808044 7937.878547430038
12800 1.37962486743927 1.3840211987495423 7998.7026035785675
12900 1.3869580030441284 1.3814981362819672 8063.006687402725
13000 1.3859787702560424 1.3809688539504996 8122.088480234146
13100 1.3763849020004273 1.379015912771225 8187.946538686752
13200 1.3707566261291504 1.3776853170394896 8244.126410484314
13300 1.3712563276290894 1.3755740134716037 8301.295520544052
13400 1.3723926305770875 1.374165193080903 8358.104964256287
13500 1.3656124114990233 1.3723386950492857 8418.859411716461
13600 1.37068932056427 1.3706370277404785 8478.361117124557
13700 1.3648160696029663 1.3690210404396062 8543.206582546234
13800 1.370401954650879 1.3674569356441497 8607.601916313171
13900 1.3698825120925904 1.3661788439750666 8665.255360603333
