nohup: ignoring input
100 1.159855707168579 1.2980504871082303 18.807565450668335
200 1.1095162105560303 1.1224373872756956 37.058231353759766
300 0.9983614864349365 1.040975697207451 55.51233792304993
400 0.8384615097045899 0.9062716507911679 73.63096022605896
500 0.6811175031661987 0.749991379752159 91.78995037078857
600 0.6044060349464416 0.6374132587862016 110.54619264602661
700 0.5301008958816529 0.5640722930765151 128.42847275733948
800 0.4915351798534393 0.5158674339985848 147.76707649230957
900 0.46130381226539613 0.48218359928846355 170.84764790534973
1000 0.4565368549823761 0.4564159322738648 189.51843905448914
1100 0.4266066656112671 0.4341393515944481 207.5099573135376
1200 0.41871211457252505 0.4196314650607109 227.65181279182434
1300 0.40121049976348877 0.40606011661291125 246.66055011749268
1400 0.38864113235473635 0.39479274610042575 265.3829801082611
1500 0.37681762742996217 0.3846030368828774 283.6518785953522
1600 0.36981803679466246 0.3765995488977433 303.7660765647888
1700 0.3622942788600922 0.3701122156596183 323.4722189903259
1800 0.3644362561702728 0.3629679098725318 343.009578704834
1900 0.35782543087005614 0.3574012979221344 362.0807566642761
2000 0.3457857468128204 0.3517243723797798 380.4383225440979
2100 0.3503379590511322 0.3473271973395349 398.8119742870331
2200 0.3437070622444153 0.34400643301010125 418.20871925354004
2300 0.318465090751648 0.3390509928274156 439.4080994129181
2400 0.344665050983429 0.33520348037958136 458.33010935783386
2500 0.33569130206108094 0.33378866525888434 476.9244575500488
2600 0.32834120965003966 0.32886541479349146 495.8116235733032
2700 0.32812157201766967 0.32717489990234383 514.8019697666168
2800 0.3159339914321899 0.3248961169171334 533.3427352905273
2900 0.3194455726146698 0.3230727302503587 551.8494913578033
3000 0.3246128137111664 0.3201021685826778 570.1833684444427
3100 0.31870656204223635 0.31713137442588796 585.8677575588226
3200 0.31917044711112974 0.3147679763960837 603.1860609054565
3300 0.3182728760242462 0.31360434399604786 620.0998215675354
3400 0.31081739330291747 0.3112156582093239 632.1976294517517
3500 0.30921283054351806 0.3103800996685027 643.6386268138885
3600 0.30636088705062864 0.3080799369764327 654.9576568603516
3700 0.3028198976516724 0.30510373036503785 666.9604454040527
3800 0.29990476298332214 0.30541997442603114 678.7622940540314
3900 0.30940223097801206 0.30335610652446743 690.1271343231201
4000 0.29460686731338503 0.3017034306263923 701.5629427433014
4100 0.3016349639892578 0.2998356088829039 712.9613935947418
4200 0.2933335776329041 0.29880748011350633 724.3435101509094
4300 0.30060670113563537 0.2971166427135469 735.8241212368011
4400 0.2993826265335083 0.2956427385258674 747.3708124160767
4500 0.2887341058254242 0.2957378232944013 758.9539120197296
4600 0.2958338439464569 0.2940915334677696 770.8741538524628
4700 0.29619935131073 0.29306659948706626 782.1216576099396
4800 0.28609045886993406 0.29076730579972265 794.0532219409943
4900 0.2949060440063477 0.29178339138031006 810.518483877182
5000 0.29272900128364565 0.28955430506706237 827.5779418945312
5100 0.28533177232742307 0.2883091544437408 843.9586870670319
5200 0.28017427802085876 0.289116188337803 861.0257878303528
5300 0.2803087320327759 0.28636299474239346 878.0560030937195
5400 0.29253221559524534 0.28664045576334 892.2204883098602
5500 0.28808688950538636 0.2849839169633388 903.5790395736694
5600 0.29495039343833923 0.28540308794021607 915.1975660324097
5700 0.2801981387138367 0.28316882312893876 927.1573076248169
5800 0.27522400093078614 0.2829600285160542 938.7529723644257
5900 0.2853776669502258 0.2813918212771416 950.2917454242706
6000 0.28271083641052247 0.28208320195078856 965.7528607845306
6100 0.27855869686603546 0.28077184433817864 977.3216285705566
6200 0.28215174198150633 0.28032573241353037 993.2711443901062
6300 0.2824190974235535 0.27990548771023743 1009.2620184421539
6400 0.2863596200942993 0.2789595457875728 1021.6842136383057
6500 0.26970819997787476 0.27876236442446717 1033.371544599533
6600 0.2822812476158142 0.27709927257895467 1045.0612037181854
6700 0.27254725444316863 0.2769711602079868 1056.7731893062592
6800 0.26826616263389585 0.27597816440701495 1068.4640645980835
6900 0.27363975083827974 0.275600464783907 1080.7404160499573
7000 0.27276584124565123 0.2747232482230663 1093.0572946071625
7100 0.2712488341331482 0.27463450267553324 1105.5534119606018
7200 0.2755960214138031 0.27408618403792384 1117.842137336731
7300 0.27438850593566894 0.2735767001485825 1129.5798561573029
7400 0.2705097111463547 0.2727481002056598 1141.5243291854858
7500 0.2743683097362518 0.27245346264600756 1153.0821397304535
7600 0.2722814996242523 0.2722681726050377 1165.261628627777
7700 0.27912423539161685 0.270580666847229 1176.9339275360107
7800 0.260365136384964 0.2707479481089116 1188.6306240558624
7900 0.26295224142074586 0.27067661141037935 1200.5440516471863
8000 0.26446901822090146 0.2695788624846934 1212.6564135551453
