nohup: ignoring input
100 1.3124881982803345 1.8487273943424225 11.567995309829712
200 1.2455413341522217 1.25475448846817 22.872698545455933
300 1.204392910003662 1.208783175945282 33.69968557357788
400 1.182066798210144 1.1804261314868927 48.03062987327576
500 1.1410167217254639 1.1564311838150025 60.209593296051025
600 1.1354424953460693 1.1328118824958802 76.02697777748108
700 1.1056939363479614 1.1136279809474945 90.46215271949768
800 1.0671008825302124 1.0971592342853547 103.32298231124878
900 1.0621763467788696 1.0749695801734924 117.13042211532593
1000 1.0280276536941528 1.0495924973487853 128.15358090400696
1100 0.977794349193573 1.0131691414117814 142.5801727771759
1200 0.9687435030937195 0.9758723032474518 158.1350498199463
1300 0.905253529548645 0.924265067577362 173.31107473373413
1400 0.8261483907699585 0.8676776748895645 188.80496835708618
1500 0.7823225855827332 0.8025984185934066 202.9237768650055
1600 0.7186551690101624 0.7407471835613251 215.40934586524963
1700 0.6478325128555298 0.6800774472951889 230.8580436706543
1800 0.6089500188827515 0.6244161373376846 246.33873319625854
1900 0.5554419755935669 0.5754371017217637 261.8476047515869
2000 0.5074720978736877 0.5348951637744903 277.3609504699707
2100 0.4959399998188019 0.49922231435775755 292.9074728488922
2200 0.46878913044929504 0.4728138592839241 308.4260401725769
2300 0.4149152636528015 0.44575098156929016 320.10461163520813
2400 0.43049493432044983 0.4275998362898827 335.6551835536957
2500 0.40726637840270996 0.41188076347112657 351.11908292770386
2600 0.3901750147342682 0.3949942755699158 366.5763792991638
2700 0.38459619879722595 0.38397120594978335 382.00206112861633
2800 0.3600446879863739 0.3755460348725319 397.5921084880829
2900 0.35829082131385803 0.36542349874973296 413.13300824165344
3000 0.36195018887519836 0.3574966198205948 428.6941759586334
3100 0.3502041697502136 0.3496575018763542 444.39810395240784
3200 0.3433905243873596 0.3421694293618202 459.95706725120544
3300 0.3411200940608978 0.3363166481256485 475.4957938194275
3400 0.32623040676116943 0.3310851201415062 489.84815096855164
3500 0.33141157031059265 0.3268387851119041 505.3543999195099
3600 0.31451281905174255 0.32275146156549456 520.9148192405701
3700 0.30956435203552246 0.31776428073644636 536.5337083339691
3800 0.30851033329963684 0.314121869802475 550.1451456546783
3900 0.3117399513721466 0.3116129621863365 561.2170221805573
4000 0.300937294960022 0.3087500223517418 573.4171509742737
4100 0.3052789568901062 0.3045274421572685 586.6080274581909
4200 0.297802209854126 0.30140364199876785 602.1804637908936
4300 0.3034152388572693 0.299581815302372 617.854710817337
4400 0.29922375082969666 0.29619259357452393 629.3678593635559
4500 0.2860208749771118 0.29471527338027953 640.4635164737701
4600 0.2949454188346863 0.29347809493541716 652.4697422981262
4700 0.29391729831695557 0.28995887994766234 664.3305189609528
4800 0.2851795256137848 0.28803237617015837 676.7883081436157
4900 0.2892603576183319 0.28772630482912065 688.7225654125214
5000 0.28388604521751404 0.28536730378866193 702.0996866226196
5100 0.27987146377563477 0.282344785630703 717.6385097503662
5200 0.27456235885620117 0.28060519486665725 733.2448770999908
5300 0.2676595151424408 0.279465939104557 748.7523806095123
5400 0.2765880525112152 0.2778515005111694 764.2377541065216
5500 0.27782055735588074 0.2776072522997856 779.760267496109
5600 0.2834841012954712 0.27655145585536955 794.8322186470032
5700 0.27025192975997925 0.2742422786355019 810.7392406463623
5800 0.26842936873435974 0.27350525200366976 826.5443184375763
5900 0.27089548110961914 0.271516786813736 842.4577198028564
6000 0.2683095633983612 0.27073651403188703 857.0514690876007
6100 0.26909106969833374 0.26909665286540985 871.5152184963226
6200 0.2731999158859253 0.2702349889278412 887.1692922115326
6300 0.2689104974269867 0.2680553954839706 903.5561769008636
6400 0.2687735855579376 0.26680136620998385 919.2729995250702
6500 0.2603316903114319 0.2658572918176651 932.2767107486725
6600 0.2678099572658539 0.26429230138659476 943.2290008068085
6700 0.25849753618240356 0.26347596555948255 955.5415389537811
6800 0.2616468667984009 0.261711051762104 966.3624980449677
6900 0.2574998736381531 0.26127773746848104 978.1901547908783
7000 0.25900664925575256 0.261471988260746 989.6310126781464
7100 0.2584613859653473 0.2608573776483536 1003.6220154762268
