nohup: ignoring input
100 1.3100939989089966 1.8416182792186737 16.811467170715332
200 1.2511111497879028 1.2608978986740111 33.027328968048096
300 1.2025773525238037 1.2083764624595643 49.973607301712036
400 1.1811299324035645 1.1792397487163544 66.62988328933716
500 1.140139102935791 1.1578843438625335 83.13721585273743
600 1.136594533920288 1.135198323726654 99.83023047447205
700 1.1088018417358398 1.1162491309642792 116.15183615684509
800 1.075176477432251 1.10041259765625 132.4147491455078
900 1.0665733814239502 1.0787690782546997 148.8338601589203
1000 1.0358006954193115 1.0547291707992554 165.1679184436798
1100 0.9915030598640442 1.0230293816328049 181.79219722747803
1200 0.9766896963119507 0.987061755657196 197.96972179412842
1300 0.9249255061149597 0.9389880430698395 214.95149993896484
1400 0.8465302586555481 0.8866098588705063 231.30161476135254
1500 0.8085832595825195 0.8213247281312942 247.58639192581177
1600 0.7321618795394897 0.7617666548490525 264.0992896556854
1700 0.6683837175369263 0.7014573937654496 280.12213706970215
1800 0.6215956211090088 0.6444733726978302 296.501713514328
1900 0.5776158571243286 0.5953856462240219 316.3171155452728
2000 0.5234712958335876 0.5524751681089402 333.8250732421875
2100 0.5094730257987976 0.5176737615466118 349.9511151313782
2200 0.48103174567222595 0.48803957641124723 366.174845457077
2300 0.43691566586494446 0.4628288295865059 382.67547273635864
2400 0.44419631361961365 0.441007100045681 398.76779079437256
2500 0.4235261380672455 0.42588737040758134 414.95689129829407
2600 0.3977479636669159 0.40796793878078463 434.0521864891052
2700 0.4029197692871094 0.39594107031822207 451.7945544719696
2800 0.37328627705574036 0.3855528795719147 471.0751483440399
2900 0.36780259013175964 0.37607252687215803 490.255797624588
3000 0.365885466337204 0.3665363296866417 509.4825351238251
3100 0.3586525321006775 0.3587901625037193 526.9923965930939
3200 0.3508830666542053 0.35125223994255067 543.0872001647949
3300 0.3452402651309967 0.3450238186120987 559.2095396518707
3400 0.33790525794029236 0.33868095457553865 575.273432970047
3500 0.339455783367157 0.3345451956987381 592.1159188747406
3600 0.3258298933506012 0.32963220059871673 610.4846131801605
3700 0.319495290517807 0.3259758526086807 626.6267228126526
3800 0.3213287591934204 0.32110335171222687 642.7191572189331
3900 0.32025566697120667 0.31693110704421995 658.7910130023956
4000 0.30736181139945984 0.3151023668050766 674.8717436790466
4100 0.30848920345306396 0.3097809290885925 690.8754844665527
4200 0.2992649972438812 0.3069339978694916 707.0143122673035
4300 0.3105781674385071 0.305621292591095 723.1245357990265
4400 0.3062492907047272 0.301938616335392 739.6599795818329
4500 0.2979538142681122 0.30095383286476135 756.0206160545349
4600 0.3021635115146637 0.2976634618639946 772.605382680893
4700 0.29638510942459106 0.29538108497858045 789.1875891685486
4800 0.29153507947921753 0.29337668091058733 805.6132969856262
4900 0.2944060266017914 0.2921869185566902 821.856068611145
5000 0.29227539896965027 0.290038937330246 838.0599718093872
5100 0.28414252400398254 0.2882541054487228 854.2785320281982
5200 0.279015451669693 0.28468643218278883 871.0491971969604
5300 0.27650079131126404 0.28356493890285495 887.2046439647675
5400 0.2803686857223511 0.2822265696525574 903.5721354484558
5500 0.28228089213371277 0.28064103186130523 919.9903955459595
5600 0.2866154909133911 0.2799777388572693 936.2529745101929
5700 0.27658459544181824 0.27787053704261777 952.6839747428894
5800 0.26951470971107483 0.2760616761445999 968.9389996528625
5900 0.2774170935153961 0.2752843803167343 986.624721288681
6000 0.2744482457637787 0.2739044123888016 1005.4475376605988
